onset	duration	trial_type	accuracy	response_time	prime_stim	target_stim
0.0	4.015	Etrue	0	n/a	2 x 3 =	6
4.015	4.015	Etrue	1	1.274	4 x 3 =	12
8.03	4.015000000000001	Etrue	1	1.418	3 x 4 =	12
12.045	4.016	Htrue	1	1.394	6 x 7 =	42
16.061	4.015000000000001	control	1	1.211	n/a	BLUEbox.bmp
20.076	4.814999999999998	Hfalse	1	2.263	8 x 9 =	63
24.891	4.015000000000001	Htrue	1	1.036	9 x 8 =	72
28.906	4.015999999999998	Htrue	1	1.268	6 x 9 =	54
32.922	4.215000000000003	control	1	1.671	n/a	BLUEbox.bmp
37.137	4.015000000000001	Etrue	1	1.544	3 x 5 =	15
41.152	4.015000000000001	Efalse	1	1.84	3 x 2 =	8
45.167	4.814999999999998	control	1	1.757	n/a	BLUEbox.bmp
49.982	4.814999999999998	Htrue	1	2.056	8 x 6 =	48
54.797	4.814999999999998	Htrue	1	1.371	8 x 9 =	72
59.611999999999995	4.814999999999998	Efalse	1	1.688	3 x 4 =	8
64.42699999999999	4.016000000000005	control	1	1.633	n/a	BLUEbox.bmp
68.443	4.814999999999998	control	1	1.692	n/a	BLUEbox.bmp
73.258	4.015000000000001	Htrue	1	1.065	6 x 7 =	42
77.273	4.015000000000001	Efalse	1	1.573	5 x 4 =	16
81.288	4.016000000000005	control	1	1.97	n/a	BLUEbox.bmp
85.304	4.814999999999998	Htrue	0	n/a	7 x 8 =	56
90.119	4.414999999999992	Etrue	1	1.522	5 x 3 =	15
94.53399999999999	4.814999999999998	Etrue	1	1.507	2 x 3 =	6
99.34899999999999	4.415000000000006	Etrue	1	1.238	5 x 3 =	15
103.764	4.015000000000001	Hfalse	0	n/a	9 x 6 =	48
107.779	4.415000000000006	Etrue	1	1.459	2 x 5 =	10
112.194	4.415999999999997	control	1	1.816	n/a	BLUEbox.bmp
116.61	4.415000000000006	Etrue	1	1.432	4 x 5 =	20
121.025	4.414999999999992	control	1	1.5	n/a	BLUEbox.bmp
125.44	4.414999999999992	control	1	1.37	n/a	BLUEbox.bmp
129.855	4.4150000000000205	Efalse	1	1.542	3 x 5 =	10
134.27	4.414999999999992	Hfalse	1	1.559	9 x 8 =	64
138.685	4.415999999999997	control	1	1.804	n/a	BLUEbox.bmp
143.101	4.414999999999992	Htrue	1	1.904	7 x 9 =	63
147.516	4.815000000000026	Htrue	0	n/a	7 x 8 =	56
152.33100000000002	4.614999999999981	Hfalse	1	2.029	6 x 9 =	45
156.946	4.414999999999992	Htrue	1	1.39	6 x 8 =	48
161.361	4.414999999999992	Hfalse	1	1.41	8 x 7 =	63
165.77599999999998	4.814999999999998	control	1	1.347	n/a	BLUEbox.bmp
170.59099999999998	4.814999999999998	Etrue	1	2.334	2 x 4 =	8
175.40599999999998	4.814999999999998	Etrue	1	2.836	4 x 3 =	12
180.22099999999998	4.814999999999998	Hfalse	1	1.393	9 x 7 =	56
185.03599999999997	4.815000000000026	Efalse	0	n/a	5 x 3 =	12
189.851	4.414999999999992	Efalse	1	1.479	5 x 2 =	12
194.266	4.814999999999998	Etrue	1	1.376	4 x 2 =	8
199.081	4.814999999999998	control	1	1.663	n/a	BLUEbox.bmp
203.896	4.416000000000025	Htrue	0	n/a	8 x 7 =	56
208.312	4.4	Htrue	1	1.999	6 x 8 =	48
