onset	duration	trial_type	accuracy	response_time	prime_stim	target_stim
0.0	4.015	Etrue	1	1.002	2 x 3 =	6
4.015	4.015	Etrue	1	0.657	4 x 3 =	12
8.03	4.015000000000001	Etrue	1	0.904	3 x 4 =	12
12.045	4.016	Htrue	1	0.918	6 x 7 =	42
16.061	4.015000000000001	control	1	1.45	n/a	BLUEbox.bmp
20.076	4.814999999999998	Hfalse	1	1.098	8 x 9 =	63
24.891	4.015000000000001	Htrue	1	0.73	9 x 8 =	72
28.906	4.015999999999998	Htrue	1	0.866	6 x 9 =	54
32.922	4.215000000000003	control	1	1.398	n/a	BLUEbox.bmp
37.137	4.015000000000001	Etrue	1	0.859	3 x 5 =	15
41.152	4.015000000000001	Efalse	1	0.795	3 x 2 =	8
45.167	4.814999999999998	control	1	1.474	n/a	BLUEbox.bmp
49.982	4.814999999999998	Htrue	1	0.72	8 x 6 =	48
54.797	4.814999999999998	Htrue	1	0.846	8 x 9 =	72
59.611999999999995	4.814999999999998	Efalse	1	0.761	3 x 4 =	8
64.42699999999999	4.016000000000005	control	1	1.462	n/a	BLUEbox.bmp
68.443	4.814999999999998	control	1	1.911	n/a	BLUEbox.bmp
73.258	4.015000000000001	Htrue	1	1.184	6 x 7 =	42
77.273	4.015000000000001	Efalse	1	0.744	5 x 4 =	16
81.288	4.016000000000005	control	1	1.351	n/a	BLUEbox.bmp
85.304	4.814999999999998	Htrue	1	1.338	7 x 8 =	56
90.119	4.414999999999992	Etrue	1	0.758	5 x 3 =	15
94.53399999999999	4.814999999999998	Etrue	1	0.699	2 x 3 =	6
99.34899999999999	4.415000000000006	Etrue	1	0.767	5 x 3 =	15
103.764	4.015000000000001	Hfalse	1	0.908	9 x 6 =	48
107.779	4.415000000000006	Etrue	1	0.808	2 x 5 =	10
112.194	4.415999999999997	control	1	1.619	n/a	BLUEbox.bmp
116.61	4.415000000000006	Etrue	1	0.811	4 x 5 =	20
121.025	4.414999999999992	control	1	1.639	n/a	BLUEbox.bmp
125.44	4.414999999999992	control	1	1.549	n/a	BLUEbox.bmp
129.855	4.4150000000000205	Efalse	1	0.995	3 x 5 =	10
134.27	4.414999999999992	Hfalse	1	0.836	9 x 8 =	64
138.685	4.415999999999997	control	1	1.545	n/a	BLUEbox.bmp
143.101	4.414999999999992	Htrue	1	0.816	7 x 9 =	63
147.516	4.815000000000026	Htrue	1	1.053	7 x 8 =	56
152.33100000000002	4.614999999999981	Hfalse	1	1.011	6 x 9 =	45
156.946	4.414999999999992	Htrue	1	0.821	6 x 8 =	48
161.361	4.414999999999992	Hfalse	1	1.401	8 x 7 =	63
165.77599999999998	4.814999999999998	control	0	n/a	n/a	BLUEbox.bmp
170.59099999999998	4.814999999999998	Etrue	1	0.85	2 x 4 =	8
175.40599999999998	4.814999999999998	Etrue	1	0.782	4 x 3 =	12
180.22099999999998	4.814999999999998	Hfalse	0	1.188	9 x 7 =	56
185.03599999999997	4.815000000000026	Efalse	1	0.848	5 x 3 =	12
189.851	4.414999999999992	Efalse	1	0.963	5 x 2 =	12
194.266	4.814999999999998	Etrue	1	0.855	4 x 2 =	8
199.081	4.814999999999998	control	1	2.626	n/a	BLUEbox.bmp
203.896	4.416000000000025	Htrue	1	1.639	8 x 7 =	56
208.312	4.4	Htrue	1	1.667	6 x 8 =	48
