onset	duration	trial_type	accuracy	response_time	prime_stim	target_stim
0.0	4.015	Etrue	1	0.611	5 - 2 =	3
4.015	4.416000000000001	Efalse	1	0.966	8 - 5 =	2
8.431000000000001	4.014999999999999	control	1	1.509	n/a	BLUEbox.bmp
12.446	4.014999999999999	Htrue	1	0.802	9 - 7 =	2
16.461	4.015000000000001	Etrue	1	0.668	8 - 5 =	3
20.476	4.015999999999998	control	1	1.485	n/a	BLUEbox.bmp
24.491999999999997	4.015000000000001	Etrue	1	0.58	5 - 2 =	3
28.506999999999998	4.015000000000001	Hfalse	1	0.77	8 - 2 =	7
32.522	4.016000000000005	Efalse	1	0.69	5 - 2 =	2
36.538000000000004	4.015000000000001	control	1	1.616	n/a	BLUEbox.bmp
40.553000000000004	4.814999999999998	Efalse	0	0.961	8 - 7 =	3
45.368	4.015000000000001	control	1	1.532	n/a	BLUEbox.bmp
49.383	4.814999999999998	Htrue	1	0.711	7 - 2 =	5
54.198	4.815000000000005	Hfalse	1	0.813	7 - 2 =	6
59.013000000000005	4.814999999999998	Htrue	1	0.953	8 - 2 =	6
63.828	4.215999999999994	Htrue	1	0.722	9 - 2 =	7
68.044	4.415000000000006	control	1	1.497	n/a	BLUEbox.bmp
72.459	4.014999999999986	Etrue	1	0.719	6 - 5 =	1
76.47399999999999	4.415000000000006	Etrue	1	0.996	6 - 4 =	2
80.889	4.814999999999998	control	1	1.643	n/a	BLUEbox.bmp
85.704	4.015000000000001	Efalse	1	0.692	5 - 3 =	1
89.719	4.016000000000005	Htrue	1	0.675	7 - 4 =	3
93.735	4.415000000000006	control	1	1.528	n/a	BLUEbox.bmp
98.15	4.214999999999989	Htrue	1	0.809	7 - 4 =	3
102.365	4.415000000000006	Etrue	1	0.755	6 - 5 =	1
106.78	4.814999999999998	control	1	1.83	n/a	BLUEbox.bmp
111.595	4.814999999999998	Etrue	1	0.592	3 - 2 =	1
116.41	4.016000000000005	Hfalse	1	0.697	8 - 6 =	4
120.426	4.415000000000006	Hfalse	1	0.97	9 - 4 =	4
124.84100000000001	4.814999999999998	Etrue	1	0.548	8 - 7 =	1
129.656	4.814999999999998	Htrue	1	0.762	8 - 6 =	2
134.471	4.414999999999992	Etrue	1	0.711	5 - 3 =	2
138.886	4.4150000000000205	Etrue	1	0.694	5 - 4 =	1
143.30100000000002	4.814999999999998	Etrue	1	0.748	4 - 3 =	1
148.116	4.414999999999992	Htrue	1	0.679	9 - 2 =	7
152.531	4.414999999999992	Hfalse	1	0.91	9 - 7 =	4
156.946	4.814999999999998	Etrue	1	0.696	8 - 7 =	1
161.761	4.814999999999998	control	1	2.174	n/a	BLUEbox.bmp
166.576	4.416000000000025	control	1	1.836	n/a	BLUEbox.bmp
170.99200000000002	4.814999999999998	control	1	1.925	n/a	BLUEbox.bmp
175.80700000000002	4.414999999999992	Htrue	1	0.617	9 - 4 =	5
180.222	4.414999999999992	Htrue	1	0.753	6 - 2 =	4
184.637	4.814999999999998	Efalse	1	0.992	4 - 3 =	2
189.452	4.814999999999998	Hfalse	1	0.65	7 - 3 =	3
194.267	4.4150000000000205	control	1	1.423	n/a	BLUEbox.bmp
198.68200000000002	4.814999999999998	Efalse	1	0.875	3 - 2 =	2
203.497	4.414999999999992	Htrue	1	0.587	9 - 6 =	3
207.912	4.8	Htrue	0	0.749	7 - 2 =	5
