onset	duration	trial_type	accuracy	response_time	prime_stim	target_stim
0.0	4.815	EFalse	1.0	0.951	6 - 5 =	2
4.815	4.012	Etrue	1.0	0.706	7 - 6 =	1
8.827	4.0120000000000005	control	1.0	1.351	n/a	BLUEbox.bmp
12.839	4.011999999999999	HTrue	1.0	1.029	8 - 3 =	5
16.851	4.0120000000000005	Hfalse	1.0	1.115	8 - 3 =	4
20.863	4.0120000000000005	HTrue	1.0	0.726	6 - 2 =	4
24.875	4.0120000000000005	Etrue	1.0	0.616	7 - 6 =	1
28.887	4.0120000000000005	control	1.0	1.289	n/a	BLUEbox.bmp
32.899	4.0120000000000005	Etrue	1.0	0.651	4 - 3 =	1
36.911	4.814	HTrue	1.0	0.658	8 - 3 =	5
41.725	4.0120000000000005	control	1.0	1.36	n/a	BLUEbox.bmp
45.737	4.213000000000001	control	1.0	1.426	n/a	BLUEbox.bmp
49.95	4.0120000000000005	HTrue	1.0	0.748	8 - 2 =	6
53.962	4.011999999999993	EFalse	1.0	1.063	5 - 4 =	2
57.974	4.814	Hfalse	1.0	0.947	9 - 3 =	5
62.788	4.814999999999998	Etrue	1.0	0.753	9 - 8 =	1
67.603	4.413000000000011	control	1.0	1.386	n/a	BLUEbox.bmp
72.016	4.0120000000000005	Etrue	1.0	0.619	3 - 2 =	1
76.028	4.412999999999997	Etrue	1.0	0.658	8 - 5 =	3
80.441	4.0120000000000005	EFalse	1.0	0.805	7 - 6 =	3
84.453	4.4140000000000015	control	1.0	1.487	n/a	BLUEbox.bmp
88.867	4.0120000000000005	HTrue	1.0	0.864	9 - 3 =	6
92.879	4.813999999999993	control	1.0	1.261	n/a	BLUEbox.bmp
97.693	4.412999999999997	HTrue	1.0	0.631	9 - 4 =	5
102.106	4.815000000000012	EFalse	1.0	0.844	6 - 4 =	1
106.921	4.412999999999997	Hfalse	1.0	0.711	6 - 2 =	5
111.334	4.412999999999997	HTrue	1.0	0.576	9 - 7 =	2
115.747	4.412999999999997	HTrue	1.0	0.702	9 - 3 =	6
120.16	4.814999999999998	Hfalse	1.0	0.609	9 - 2 =	8
124.975	4.413000000000011	HTrue	1.0	0.613	9 - 6 =	3
129.388	4.4129999999999825	Etrue	1.0	0.66	5 - 3 =	2
133.801	4.815000000000026	HTrue	1.0	0.67	7 - 3 =	4
138.616	4.813999999999993	control	1.0	1.22	n/a	BLUEbox.bmp
143.43	4.813999999999993	control	1.0	1.44	n/a	BLUEbox.bmp
148.244	4.413999999999987	Etrue	1.0	0.693	6 - 4 =	2
152.658	4.814000000000021	Etrue	1.0	0.597	5 - 4 =	1
157.472	4.4129999999999825	control	1.0	1.219	n/a	BLUEbox.bmp
161.885	4.414000000000016	Hfalse	1.0	0.673	9 - 6 =	5
166.299	4.4129999999999825	control	1.0	1.11	n/a	BLUEbox.bmp
170.712	4.814000000000021	Etrue	1.0	0.568	7 - 5 =	2
175.526	4.613999999999976	Hfalse	1.0	0.863	7 - 4 =	2
180.14	4.814000000000021	HTrue	1.0	0.683	8 - 6 =	2
184.954	4.413999999999987	EFalse	1.0	0.788	7 - 5 =	1
189.368	4.413000000000011	EFalse	1.0	0.687	9 - 8 =	3
193.781	4.813999999999993	HTrue	1.0	0.567	7 - 3 =	4
198.595	4.413999999999987	Etrue	1.0	0.849	9 - 8 =	1
203.009	4.814000000000021	control	1.0	1.255	n/a	BLUEbox.bmp
207.823	4.8	Etrue	1.0	0.615	7 - 5 =	2
