onset	duration	trial_type	accuracy	response_time	prime_stim	target_stim
0.0	4.815	Efalse	1	1.537	6 - 5 =	2
4.815	4.015	Etrue	1	1.183	7 - 6 =	1
8.83	4.015999999999998	control	1	1.674	n/a	BLUEbox.bmp
12.845999999999998	4.015000000000002	Htrue	1	1.387	8 - 3 =	5
16.861	4.014999999999997	Hfalse	1	1.455	8 - 3 =	4
20.875999999999998	4.015000000000001	Htrue	1	0.899	6 - 2 =	4
24.891	4.015999999999998	Etrue	1	0.724	7 - 6 =	1
28.906999999999996	4.015000000000001	control	1	1.677	n/a	BLUEbox.bmp
32.922	4.015000000000001	Etrue	1	0.644	4 - 3 =	1
36.937	4.814999999999998	Htrue	1	0.839	8 - 3 =	5
41.751999999999995	4.016000000000005	control	1	1.599	n/a	BLUEbox.bmp
45.768	4.215000000000003	control	1	1.914	n/a	BLUEbox.bmp
49.983000000000004	4.015000000000001	Htrue	1	1.337	8 - 2 =	6
53.998000000000005	4.015000000000001	Efalse	1	1.406	5 - 4 =	2
58.013000000000005	4.814999999999998	Hfalse	1	1.419	9 - 3 =	5
62.828	4.814999999999998	Etrue	1	0.818	9 - 8 =	1
67.643	4.415999999999997	control	1	1.606	n/a	BLUEbox.bmp
72.059	4.015000000000001	Etrue	1	0.887	3 - 2 =	1
76.074	4.414999999999992	Etrue	1	1.177	8 - 5 =	3
80.48899999999999	4.015000000000001	Efalse	1	1.351	7 - 6 =	3
84.50399999999999	4.415000000000006	control	1	1.679	n/a	BLUEbox.bmp
88.919	4.016000000000005	Htrue	1	1.061	9 - 3 =	6
92.935	4.814999999999998	control	1	1.694	n/a	BLUEbox.bmp
97.75	4.415000000000006	Htrue	1	1.057	9 - 4 =	5
102.165	4.814999999999998	Efalse	1	1.134	6 - 4 =	1
106.98	4.414999999999992	Hfalse	1	1.102	6 - 2 =	5
111.395	4.415000000000006	Htrue	1	1.431	9 - 7 =	2
115.81	4.414999999999992	Htrue	1	0.9	9 - 3 =	6
120.225	4.815000000000012	Hfalse	1	1.486	9 - 2 =	8
125.04	4.416000000000011	Htrue	1	1.27	9 - 6 =	3
129.45600000000002	4.414999999999992	Etrue	1	1.179	5 - 3 =	2
133.871	4.814999999999998	Htrue	1	1.312	7 - 3 =	4
138.686	4.814999999999998	control	1	1.545	n/a	BLUEbox.bmp
143.501	4.814999999999998	control	1	2.008	n/a	BLUEbox.bmp
148.316	4.414999999999992	Etrue	1	1.189	6 - 4 =	2
152.731	4.814999999999998	Etrue	1	1.234	5 - 4 =	1
157.546	4.4150000000000205	control	1	1.715	n/a	BLUEbox.bmp
161.961	4.414999999999964	Hfalse	1	1.38	9 - 6 =	5
166.37599999999998	4.4150000000000205	control	1	1.499	n/a	BLUEbox.bmp
170.791	4.814999999999998	Etrue	1	1.811	7 - 5 =	2
175.606	4.616000000000014	Hfalse	1	1.725	7 - 4 =	2
180.222	4.814999999999998	Htrue	1	1.414	8 - 6 =	2
185.037	4.414999999999992	Efalse	1	1.264	7 - 5 =	1
189.452	4.4150000000000205	Efalse	1	0.909	9 - 8 =	3
193.86700000000002	4.814999999999998	Htrue	1	1.354	7 - 3 =	4
198.68200000000002	4.414999999999992	Etrue	1	0.898	9 - 8 =	1
203.097	4.814999999999998	control	1	1.547	n/a	BLUEbox.bmp
207.912	4.8	Etrue	1	0.77	7 - 5 =	2
